id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
47,Long Nineteenth Century,1818; 1831,Frankenstein,https://romantic-circles.org/editions/frankenstein/editions.2009.frankenstein,yes,yes,yes,ENG,Book,not provided,2009,Stuart Curran,University of Maryland,not provided,yes,not provided,not provided,yes,no,no,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,no,not provided,no,yes,not provided,not provided,England,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0AE-6
48,Middle Ages,500-1500,Glossae.net,http://www.glossae.net,yes,yes,no,LAT,Manuscript,not provided,not provided,Martin Morard; Marjorie Burghart,CNRS (Centre national de la recherche scientifique); Institut Universitaire de France; Laboratoire d'excellence HASTEC (Histoire et anthropologie des sciences techniques et croyances); UMR 5648 CIHAM (Centre interuniversitaire d'histoire et d'archéologie médiévale); UMR 8584 LEM (Laboratoire d'étude sur les monothéismes),General public,partly,not provided,yes,yes,no,partly,yes,no,no,not provided,FRE; ENG,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,Keyed,no,not provided,not provided,Various,Various,"CNRS (Centre national de la recherche scientifique); TGE Adonis; Cluster de Recherche 13 ""Recherche Patrimoine Création""; Institut Universitaire de France; Laboratoire d'excellence HASTEC; UMR 5648 CIHAM; UMR 8584 LEM",not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0AF-5
49,Long Nineteenth Century,1820-1856,Heinrich-Heine Portal,http://www.heine-portal.de,yes,yes,yes,GER,Manuscript,2004,2009,Thomas Burch,Heinrich-Heine-Institut Düsseldorf; University of Trier,not provided,partly,not provided,yes,partly,no,yes,yes,no,no,no,GER,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,Keyed; OCR,no,not provided,not provided,Various,Germany,Kunststiftung NRW; Deutsche Forshungsgemeinschaft,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0B0-2
50,Long Nineteenth Century,1846-1896,Henrik Ibsens Skrifter,http://www.ibsen.uio.no/forside.xhtml,yes,yes,yes,NOR,Manuscript; Letter; Book,2005,2010,Jan Halvor Undlien; Frode Helland,University of Oslo; Svenska Litteraturs Llskapet Finland; Nasjonalbiblioteket; Emunch; Bokselskap,not provided,yes,not provided,yes,yes,yes,no,no,no,no,not provided,NOR,yes,yes,yes,yes,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,yes,not provided,not provided,Norway,Norsk Kulturråd,"$10,000,000",not provided,yes,no,yes,not provided,21.11115/0000-000B-D0B1-1
51,Long Nineteenth Century,19th,Mark Twain Project,http://www.marktwainproject.org/homepage.html,yes,no,yes,ENG,Manuscript,2007,2016,Anh Q. Bui; Victor Fischer; et al.,California Digital Library; University of California Press,not provided,yes,not provided,yes,yes,not provided,partly,yes,no,no,no,ENG,not provided,not provided,yes,yes,no,not provided,not provided,no,no,not provided,not provided,no,Keyed,no,not provided,not provided,Various,United States,not provided,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0B2-0
52,Middle Ages,1497-1499,Niccolò Canussio: De restitutione patriae,http://www.fondazionecanussio.org/patria.htm,yes,yes,yes,LAT,Manuscript,not provided,not provided,Roberto Gusmani,Fondazione Niccolò Canussio,not provided,partly,not provided,partly,no,no,yes,yes,no,no,ITA,ITA,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,not provided,Italy,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0B3-F
53,Middle Ages,1225-1230,Queste del Saint Graal,http://txm.bfm-corpus.org/?command=documentation&path=/GRAAL,yes,yes,yes,FRM,Manuscript,not provided,not provided,Christiane Marchello-Nizia; Alexei Lavrentiev,École Normale Supérieure de Lyon,Scholars; students,yes,yes,yes,yes,yes,yes,yes,no,no,FRE,"FRE, ENG",yes,yes,no,no,yes,Open Access and Open Source (some data),no,no,no,yes,partly,no,Keyed,no,yes,no,Various,Various,not provided,not provided,TXM,yes,no,yes,not provided,21.11115/0000-000B-D0B4-E
54,Middle Ages,1331-1340,The Auchinleck manuscript,http://auchinleck.nls.uk/index.html,yes,yes,yes,ENM,Manuscript,2000,2003,David Burnley; Alison Wiggins,National Library of Scotland,not provided,yes,yes,yes,no,no,yes,yes,no,no,no,ENG,yes,no,yes,no,no,yes,no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,National Library of Scotland,England,Professor David Burnley from Department of English Language and Linguistics at University of Sheffield,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0B5-D
55,Middle Ages; Early Modern,1596-1634,The Casebooks Project,http://www.magicandmedicine.hps.cam.ac.uk/,yes,yes,yes,ENG; LAT,Manuscript,2010,2018,Lauren Kassell,University of Cambridge,not provided,yes,not provided,yes,yes,no,yes,yes,yes,no,no,ENG,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,Bodleian Library,England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0B6-C
56,Antiquity,4th,The Confessions of Augustine: An Electronic Edition,http://www.stoa.org/hippo/,yes,yes,yes,LAT,Codex,not provided,not provided,James J. O'Donnell,University of Kentucky,not provided,partly,not provided,partly,no,no,no,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,yes,OCR,no,not provided,not provided,not provided,North Africa,Stoa Consortium,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0B7-B
57,Antiquity,340-320 BC,The Derveni Papyrus,http://chs.harvard.edu/CHS/article/display/5418,yes,yes,yes,GRC,Papyrus,not provided,not provided,Ioanna Papadopoulou,"Center for Hellenic Studies, Harvard University; Casa Editrice Leo S. Olschki; Universita degli Studi di Genova; Aristotle University of Thessaloniki; Archaeological Museum of Thessaloniki",not provided,partly,not provided,partly,partly,no,no,no,no,no,ENG,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,yes,yes,not provided,Archaeological Museum of Thessaloniki,Derveni (north of Thessaloniki),not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0B8-A
58,Antiquity,2nd,The Gospel according to St. John,http://www.iohannes.com/,yes,yes,yes,GRC; LAT,Codex,2007,2010,Various,University of Birmingham,not provided,yes,not provided,yes,yes,no,yes,yes,no,no,no,ENG,yes,no,no,no,no,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,Various,Various,"AHRC; British Academy; International Greek New Testament Project; United Bible Societies, University of Birmingham (Institute for Textual Scholarship and Electronic Editing)",not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0B9-9
59,Early Modern; Long Nineteenth Century,1674-1913,The Proceedings of the Old Bailey,http://www.oldbaileyonline.org/,no,yes,no,ENG,Manuscript,2003,2015,Clive Emsley; Tim Hitchcock; Robert Shoemaker,University of Sheffield,not provided,yes,not provided,not provided,partly,yes,yes,no,no,no,not provided,ENG,no,no,yes,yes,yes,Open Access and Open Source (some data),no,yes,no,yes,partly,yes,Keyed; OCR,no,not provided,not provided,Old Bailey Criminal Court,England,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0BA-8
60,Early Modern,1590-1652,The Richard Brome Project,http://www.hrionline.ac.uk/brome/,no,yes,yes,ENG,Manuscript,not provided,2010,Richard Cave,Royal Holloway; University of Sheffield,Scholars; theatre practitioners,yes,not provided,yes,yes,no,no,no,no,no,not provided,ENG,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,not provided,no,not provided,not provided,not provided,England,AHRC,not provided,JavaScript; Adobe Flash,no,no,no,not provided,21.11115/0000-000B-D0BB-7
61,Long Nineteenth Century,19th,The Svoboda Diary Project,http://courses.washington.edu/otap/svoboda/public/index.html,yes,yes,yes,ARA,Manuscript,not provided,not provided,Mehmet Kalpakli; Walter G. Andrews,University of Washington,not provided,no,not provided,yes,no,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,not provided,not provided,not provided,Iraq,not provided,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0BC-6
62,Long Nineteenth Century,1788-1836,William Godwin's Diary,http://godwindiary.bodleian.ox.ac.uk/index2.html,yes,yes,yes,ENG,Manuscript,2007,2010,David O’Shaughnessy; Mark Philp; Victoria Myers,Bodleian Library,General public,partly,not provided,yes,yes,yes,yes,yes,no,no,not provided,ENG,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,partly,yes,Keyed,no,not provided,not provided,Bodleian Library,England,not provided,not provided,not provided,yes,http://ride.i-d-e.de/issues/issue-3/godwin/,yes,not provided,21.11115/0000-000B-D0BD-5
63,Middle Ages,1232-1316,The Augsburg Web Edition of Llull's Electoral Writings,http://www.math.uni-augsburg.de/stochastik/llull/,yes,yes,yes,LAT,Manuscript,not provided,not provided,Gerlinde Wolsleben,University of Augsburg,not provided,partly,not provided,yes,no,no,yes,no,no,yes,GER; FRE,GER; ENG,no,no,no,no,no,Open Access and Open Source (some data),no,no,no,yes,no,yes,Keyed,no,not provided,not provided,Biblioteca Apostolica Vaticana; Bayerische Staatsbibliothek; Universitat de Barcelona; St. Nikolaus-Hospital Cusanusstift,Various,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0BE-4
64,Antiquity,200,Digital Mishnah,http://www.digitalmishnah.org/,yes,yes,yes,HEB,Manuscript,forthcoming,not provided,Hayim Lapin,Maryland Institute of Technology in the Humanities (MITH),not provided,partly,yes,yes,yes,no,no,no,no,no,no,ENG,no,no,yes,no,yes,Open Access and Open Source (some data),no,no,no,yes,partly,no,Keyed,no,yes,no,Various,Various,Maryland Institute of Technology in the Humanities (MITH); Amazon Web Services,not provided,not provided,no,no,yes,not provided,21.11115/0000-000B-D0BF-3
65,Antiquity,600 BC-900 AD,The Online Critical Pseudepigrapha,http://ocp.tyndale.ca/,yes,yes,yes,ARC; GRC; LAT,not provided,2004,present,Ian W. Scott,Society of Biblical Literature,not provided,partly,not provided,not provided,no,no,no,no,no,no,no,ENG,no,no,no,no,no,partly,no,no,no,yes,no,no,Keyed,no,yes,not provided,Various,Various,not provided,not provided,Drupal,yes,no,no,not provided,21.11115/0000-000B-D0C0-0
66,Antiquity,3rd BC-1st AD,Dead Sea Scrolls,http://dss.collections.imj.org.il/,yes,yes,no,HEB,Scroll; Papyrus,1995,2011,James S. Snyder,Google; The Israel Museum,not provided,partly,not provided,yes,no,no,yes,yes,no,yes,no,ENG,no,no,yes,no,no,yes,no,no,no,no,no,no,Keyed,no,no,no,The Israel Museum,"Qumran, Israel",George Blumenthal and the Center for Online Judaic Studies,not provided,Google,yes,no,no,not provided,21.11115/0000-000B-D0C1-F
67,Middle Ages,1299-1345,Editions of the Registers of the counts of Holland 1299-1345,http://www.historici.nl/Onderzoek/Projecten/RegistersVanDeHollandseGrafelijkheid1299-1345,yes,yes,yes,DUT,Register,not provided,not provided,Jan Burgers,Huygens ING; Nationaal Archief,not provided,partly,not provided,not provided,no,no,yes,yes,yes,no,not provided,DUT; ENG,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,Keyed,no,yes,not provided,Nationaal Archief,Netherlands,"External scolars made up of Ms Prof. dr. Th. de Hemptinne, Prof. P.A. Henderikx, G. van Herwijnen, Prof.P.C.M. Hoppenbrouwers and Prof. J.G. Smit. - See more at: http://www.historici.nl/Onderzoek/Projecten/RegistersVanDeHollandseGrafelijkheid1299-1345/en/colofon#sthash.HhPd6Esd.dpuf",not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0C2-E
68,Early Modern,17th,Quijote Interactivo,http://quijote.bne.es/libro.html,no,yes,no,SPA,Codex,2009,2010,José Manuel Lucía Megías,Biblioteca Nacional de España,General public,partly,no,partly,no,no,yes,yes,no,no,no,SPA,no,yes,yes,no,no,no,no,no,no,no,no,no,Keyed,no,yes,no,Biblioteca Nacional de España,Madrid,Telefonica,not provided,Adobe Flash Player,no,no,no,not provided,21.11115/0000-000B-D0C3-D
69,Long Nineteenth Century,1803-1806,The Journals of the Lewis and Clark Expedition,http://lewisandclarkjournals.unl.edu,yes,yes,yes,ENG,Journal,2002,present,Katherine Walter,University of Nebraska,not provided,yes,not provided,not provided,yes,yes,yes,no,no,no,not provided,ENG,no,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,no,yes,yes,not provided,yes,not provided,not provided,Various,United States,not provided,not provided,TEI-XML; XSLT; Apache Solr; Ruby on Rails 5,yes,no,yes,not provided,21.11115/0000-000B-D0C4-C
70,Middle Ages; Early Modern,10th-17th,Electronic Boethius CDROM,http://beowulf.engl.uky.edu/~kiernan/eBoethius/inlad.htm,yes,yes,yes,ENM,Manuscript,2002,2006,Kevin Kiernan,University of Kentucky; British Library; University of Sheffield,not provided,partly,not provided,not provided,no,no,no,not provided,not provided,not provided,not provided,ENG,not provided,not provided,not provided,not provided,no,no,not provided,no,no,not provided,yes,no,Keyed,no,not provided,not provided,British Library; Bodleian Library,England,National Endowment for the Humanities; Andrew W. Mellon Foundation,not provided,CDROM,no,no,yes,not provided,21.11115/0000-000B-D0C5-B
71,Early Modern; Long Nineteenth Century,1773-1836,James Mill's Common Place Books,http://www.intellectualhistory.net/mill/,yes,yes,yes,ENG,Book,2008,present,Kristopher Grint,University of Sussex; London Library,Scholars,yes,not provided,not provided,yes,no,no,no,no,no,no,ENG,no,no,yes,no,no,yes,no,no,no,yes,no,yes,Keyed,no,not provided,not provided,London Library; British Library,England,AHRC; British Academy,not provided,MySQL; PHP,no,no,no,not provided,21.11115/0000-000B-D0C6-A
72,Middle Ages,13th,A trial electronic edition of the Preface to 'Ancrene Wisse' for the Early English Text Society,http://tei.oucs.ox.ac.uk/Projects/EETS/soton/,yes,yes,yes,ENM,Manuscript,not provided,not provided,Lou Burnard,University of Southampton; University of Oxford,not provided,yes,not provided,yes,yes,no,yes,yes,no,no,not provided,ENG,yes,no,no,no,no,Open Access and Open Source (all data),no,no,no,yes,no,no,Keyed,no,trial,not provided,Various,England,AHRC,not provided,XSLT,no,no,yes,not provided,21.11115/0000-000B-D0C7-9
73,Antiquity,1898,Digital Nestle-Aland,http://nestlealand.uni-muenster.de/,yes,yes,yes,GRC (NT),Book; Edition,2003,2010,Luc Herren,University of Münster,not provided,yes,not provided,not provided,yes,no,no,not provided,not provided,not provided,not provided,ENG,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,forthcoming,not provided,Various,Various,Deutsche Forschungsgemeinschaft,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0C8-8
74,Early Modern,1516-1532,Orlando Furioso Hypertext,http://stel.ub.edu/orlando/,yes,yes,yes,ITA,Manuscript,2005,not provided,María de las Nieves Muñiz,Universitat de Barcelona,"Scholars; students (higher education) of history of art, literary studies and of the book.",partly,not provided,partly,no,no,yes,yes,no,no,not provided,SPA,no,yes,no,yes,no,yes,no,no,no,no,no,no,Keyed,no,not provided,not provided,Various,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0C9-7
75,Antiquity,29 BC-19 BC,"The Vergil project. Resources for Students, Teachers, and Readers of Vergil",http://vergil.classics.upenn.edu/,yes,yes,yes,ENG; LAT,not provided,1995,present,Mary Costigan,University of Pennsylvania,Students; teachers; general public,yes,partly,partly,no,no,no,no,no,no,not provided,ENG,no,yes,no,no,no,yes,no,no,no,yes,partly,no,not provided,yes,no,no,Various,Various,"The National Endowment for the Humanities; The Pew Charitable Trusts; The Edmund J. and Louise W. Kahn Fund for Faculty Excellence; Mr. Joseph B. Glossberg, Department of Classical Studies, The School of Arts and Sciences, University of Pennsylvania; Center for the Computer Analysis of Texts, University of Pennsylvania",not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D0CA-6
76,Middle Ages,14th,Cantar de mio Cid,http://www.laits.utexas.edu/cid/index2.php?v=nor,yes,no,yes,SPA,Manuscript,not provided,present,Matthew Bailey,Biblioteca Nacional de España,General public,yes,yes,yes,no,no,yes,no,no,yes,no,ENG,not provided,not provided,no,no,no,yes,no,no,no,no,yes,no,Keyed,no,no,no,Biblioteca Nacional de España,Spain,Liberal Arts Instructional Technology Services (LAITS) @UT Austin,not provided,not provided,no,no,no,not provided,21.11115/0000-000B-D0CB-5
77,Middle Ages,1200,The Aberdeen Bestiary,http://www.abdn.ac.uk/bestiary/,yes,yes,no,LAT,Manuscript,not provided,not provided,Michael Arnott,University of Aberdeen,not provided,partly,no,yes,no,no,yes,no,no,no,no,ENG,no,no,yes,no,no,partly,no,no,no,no,no,no,Keyed,yes,no,no,Aberdeen University Library,Scotland,not provided,not provided,not provided,yes,no,yes,not provided,21.11115/0000-000B-D0CC-4
78,Antiquity,86-103,M. Valerii Martialis Epigrammaton Liber IV,http://www.curculio.org/Martial/Martial04.html,yes,yes,yes,LAT,not provided,2005,2007,Michael Hendry,Bowling Green State University,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,LAT,no,no,no,no,no,yes,no,no,no,no,no,no,Keyed,no,yes,not provided,not provided,not provided,not provided,no,not provided,yes,no,no,not provided,21.11115/0000-000B-D0CD-3
79,Antiquity,1st BC-1st AD,P. Ovidii Nasonis Heroides I,http://www.curculio.org/Ovid/h01.html,yes,yes,yes,LAT,not provided,2008,not provided,Michael Hendry,not provided,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,LAT,no,no,no,no,no,yes,no,no,no,no,no,no,Keyed,no,yes,not provided,Various,Italy,not provided,no,not provided,yes,no,no,not provided,21.11115/0000-000B-D0CE-2
80,Antiquity,1st BC,Sexti Propertii Elegiae,http://www.curculio.org/Propertius/index.html,yes,yes,yes,LAT,not provided,1998,2001,Michael Hendry,not provided,not provided,partly,not provided,not provided,no,no,no,no,no,no,not provided,ENG,no,no,no,no,no,yes,no,no,no,yes,yes,yes,Keyed,no,yes,not provided,Various,Italy,not provided,no,not provided,yes,no,no,not provided,21.11115/0000-000B-D0CF-1
